Lead_ID,Lead_Date,Company_Name,Region,City,Equipment_Type,Lead_Source,Sales_Rep,Current_Stage,Quotation_Date,Negotiation_Date,Closing_Date,Deal_Value_IDR,Lost_At_Stage,Lost_Reason,Stage_Order,Reached_Lead,Reached_Quotation,Reached_Negotiation,Reached_Closed_Won
LD-0593,2024-11-25,PT Mitra Konstruksi 594,Jawa,Jakarta,Scissor Lift,Email,Vino Jayrasta,Closed Lost,2024-11-26,2024-12-02,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0300,2023-10-22,PT Mitra Konstruksi 301,Jawa,Jakarta,Boom Lift,WhatsApp,Dewi Lestari,Lead In,,,,,,,1,1,0,0,0
LD-0177,2023-04-07,PT Mitra Konstruksi 178,,,Carmix,,,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0324,2023-11-03,PT Mitra Konstruksi 325,Jawa,Gresik,Boom Lift,Email,Vino Jayrasta,Lead In,,,,,,,1,1,0,0,0
LD-0859,2025-11-16,PT Mitra Konstruksi 860,Jawa,Bandung,BOOM LIFT,website,Budi Santoso,closed lost,2025-11-17,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-1007,2026-06-30,PT Mitra Konstruksi 1008,Jawa,Surabaya,Skylift,WhatsApp,Dewi Lestari,Closed Lost,2026-07-04,06/07/2026,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0138,2023-02-18,  PT Mitra Konstruksi 139,Sumatra,  Batam,  Carmix,WhatsApp,Sari Rahmawati   ,Lead In,,,,,,,1,1,0,0,0
LD-0340,2023-12-25,PT Mitra Konstruksi 341,Sumatra,Medan,Boom Lift,Website,Andi Pratama,Closed Lost,2023-12-28,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0202,2023-05-31,PT Mitra Konstruksi 203,Bali,Denpasar,Carmix,website,Vino Jayrasta,Closed Lost,2023-06-04,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0943,2026-04-06,PT Mitra Konstruksi 944,Jawa,Bandung,Telehandler,Referral,Budi Santoso,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0573,2024-10-18,  PT Mitra Konstruksi 574,Jawa, Bandung ,Telehandler,WhatsApp,  Rina Wulandari,Lead In,,,,,,,1,1,0,0,0
LD-0130,02/02/2023,PT Mitra Konstruksi 131,Sumatra,Medan,Boom Lift,WhatsApp,Vino Jayrasta,Closed Lost,03.02.2023,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0117,2023-01-22,PT Mitra Konstruksi 118,Jawa,Sidoarjo,Scissor Lift,Google Ads,Sari Rahmawati,Closed Lost,25.01.2023,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-1010,2026-07-15,PT Mitra Konstruksi 1011,Bali,Denpasar,Scissor Lift,Google Ads,Vino Jayrasta,Closed Lost,2026-07-16,2026-07-23,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0864,2025-12-28,PT Mitra Konstruksi 865,sumatra,Batam,TELEHANDLER,GOOGLE ADS,VINO JAYRASTA,Closed Lost,2026-01-02,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0925,20/03/2026,PT Mitra Konstruksi 926,Jawa,Bandung,Scissor  Lift,whatsapp,vino jayrasta,Closed Lost,2026-03-25,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0688,2025-03-21,PT Mitra Konstruksi 689,Jawa,Gresik,Carmix,Email,Fajar Nugroho,Closed Lost,2025-03-24,2025-04-01,,,Negotiation,No response / went cold,5,1,1,1,0
LD-0997,2026-06-14,PT Mitra Konstruksi 998,JAWA,Sidoarjo,telehandler,referral,Budi Santoso,Closed Won,2026-06-20,2026-06-22,2026-07-01,8987727664.0,,,4,1,1,1,1
LD-0103,2023-01-10,PT Mitra Konstruksi 104,Jawa,Gresik,Telehandler,Website,Rina Wulandari,Closed Lost,2023-01-16,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0293,28/10/2023,PT Mitra Konstruksi 294,Jawa,Surabaya,Boom Lift,Google Ads,Sari Rahmawati,Closed Lost,2023-10-30,,,,Quotation Sent,Chose competitor,5,1,1,0,0
LD-0024,2022-09-24,PT Mitra Konstruksi 025,Sumatra,Medan,Boom Lift,Email,Budi Santoso,Closed Lost,2022-09-30,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0529,2024-08-30,PT Mitra Konstruksi 530,Jawa,Surabaya,Scissor Lift,Referral,Andi Pratama,Closed Won,2024-08-31,2024-09-02,2024-09-14,9000000.0,,,4,1,1,1,1
LD-0924,2026-03-13,PT Mitra Konstruksi 925,Sumatra,Medan,Boom Lift,Google Ads,Eko Kurniawan,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0232,2023-07-28,PT Mitra Konstruksi 233,Bali,Gianyar,Skylift,WhatsApp,Andi Pratama,Closed Won,2023-07-30,2023-08-06,2023-08-14,17600000.0,,,4,1,1,1,1
LD-0359,2024-01-23,PT Mitra Konstruksi 360,Jawa,Bandung,Scissor Lift,Email,Fajar Nugroho,Closed Won,2024-01-28,2024-01-31,2024-02-11,10600000.0,,,4,1,1,1,1
LD-0682,2025-02-11,PT Mitra Konstruksi 683,Jawa,Sidoarjo,Boom Lift,Google Ads,Andi Pratama,Lead In,,,,,,,1,1,0,0,0
LD-0217,2023-06-15,PT Mitra Konstruksi 218,Sumatra,Palembang,Sky Lift,G-Ads,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0620,2024-12-25,PT Mitra Konstruksi 621,Jawa,Surabaya,Crane,Google Ads,Dewi Lestari,Closed Won,2024-12-30,2025-01-06,2025-01-12,71400000.0,,,4,1,1,1,1
LD-0439,2024-04-24,PT Mitra Konstruksi 440,Jawa,Gresik,Crane,Website,Dewi Lestari,Closed Lost,2024-04-25,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0301,21-Oct-2023,PT Mitra Konstruksi 302,Jawa,Bandung,Skylift,WhatsApp,Sari Rahmawati,Lead In,,,,,,,1,1,0,0,0
LD-0432,2024-04-04,PT Mitra Konstruksi 433,Jawa,Semarrang,Crane,WhatsApp,Andi Pratama,Closed Won,2024-04-07,2024-04-11,2024-04-15,69600000.0,,,4,1,1,1,1
LD-0940,2026-03-09,PT Mitra Konstruksi 941,BALI,Badung,scissor lift,whatsapp,Rina Wulandari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0270,2023-09-11,PT Mitra Konstruksi 271,Jawa,Sidoarjo,boom lift,WA,RINA WULANDARI,Closed Lost,2023-09-13,2023-09-19,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0320,2023-11-17,PT Mitra Konstruksi 321,Jawa,Sidoarjo,Scissor Lift,Website,Andi Pratama,Closed Won,2023-11-20,2023-11-22,2023-12-03,15100000.0,,,4,1,1,1,1
LD-0644,2025-01-09,PT Mitra Konstruksi 645,Jawa,Sidoarjo,SKYLIFT,Web,Dewi Lestari,Closed Lost,2025-01-15,2025-01-17,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0242,2023-07-22,  PT Mitra Konstruksi 243,Bali,Gianyar,Crane,WhatsApp,Vino  Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0708,03-Apr-2025,PT Mitra Konstruksi 709,Bali,Badung,Skylift,Google Ads,Vino Jayrasta,Closed Lost,07.04.2025,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0658,2025-01-19,PT Mitra Konstruksi 659,Jawa,Gresik,Boom Lift,WhatsApp,Budi Santoso,Closed Lost,2025-01-21,29/01/2025,,,Negotiation,Price too high,5,1,1,1,0
LD-0901,20-Jan-2026,PT Mitra Konstruksi 902,Bali,Badung,Crane,WhatsApp,Budi Santoso,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0826,2025-10-13,PT Mitra Konstruksi 827,Jawa,Gresik,Scissor Lift,Google Ads,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0663,2025-02-23,PT Mitra Konstruksi 664,Jawa,Sidoarjo,Telehandler,Google Ads,Vino Jayrasta,Closed Lost,2025-02-24,2025-02-27,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0498,2024-07-18,PT Mitra Konstruksi 499,Sumatra,Batam,Scissor Lift,Google Ads,Vino Jayrasta,Closed Lost,2024-07-23,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0507,2024-07-19,PT Mitra Konstruksi 508,Jawa,Jakarta,Crane,WhatsApp,Rina Wulandari,Closed Lost,2024-07-24,2024-08-02,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0275,2023-09-22,PT Mitra Konstruksi 276,Jawa,Sidoarjo,SCISSOR LIFT,website,Vino Jayrasta,Lead In,,,,,,,1,1,0,0,0
LD-0488,2024-06-16,PT Mitra Konstruksi 489,Sumatra,Batam,Skylift,WhatsApp,Dewi Lestari,Closed Lost,2024-06-21,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-1023,2026-07-11,PT Mitra Konstruksi 1024,Jawa,Gresik,Skylift,Referral,Andi Pratama,Closed Won,2026-07-15,2026-07-20,2026-08-02,,,,4,1,1,1,1
LD-0538,2024-09-24,PT Mitra Konstruksi 539,Jawa,Surabaya,BOOM LIFT ,Refferal,VINO JAYRASTA,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0784,2025-07-13,PT Mitra Konstruksi 785,BALI,Gianyar,boom lift,WHATSAPP,Budi Santoso,CLOSED WON,2025-07-14,2025-07-18,2025-07-28,16600000.0,,,4,1,1,1,1
LD-0837,23-Oct-2025,PT Mitra Konstruksi 838,Jawa,Jakarta,Skylift,WhatsApp,Budi Santoso,Closed Lost,26/10/2025,,,,Quotation Sent,Chose competitor,5,1,1,0,0
LD-0463,2024-05-01,PT  Mitra Konstruksi 464,Sumatra,Palembang   ,Skylift   ,WhatsApp, Fajar Nugroho ,Closed Lost,2024-05-06,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0957,2026-04-11,PT Mitra Konstruksi 958,Bali,Badung,BOOM LIFT,Whatsapp,Rina Wulandari,Closed Won,2026-04-14,2026-04-20,2026-05-03,18700000.0,,,4,1,1,1,1
LD-0366,2024-01-13,PT Mitra Konstruksi 367,Bali,Denpasar,Boom Lift,WhatsApp,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0268,2023-09-20,PT Mitra Konstruksi 269,Jawa,Sidoarjo,Skylift,Google Ads,Andi Pratama,Closed Lost,2023-09-26,2023-09-28,,,Negotiation,No response / went cold,5,1,1,1,0
LD-0469,2024-05-16,PT Mitra Konstruksi 470   ,Jawa, Gresik ,Crane   ,Website,Vino  Jayrasta,Closed Lost,2024-05-20,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0342,2023-12-20,PT Mitra Konstruksi 343,Jawa,Sidoarjo,Telehandler,Referral,Vino Jayrasta,CLOSED LOST,22-Dec-2023,2023-12-29,,,Negotiation,Budget not approved,5,1,1,1,0
LD-0435,2024-04-13,PT Mitra Konstruksi 436,Bali,Gianyar,Boom Lift,Google Ads,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0861,16-Dec-2025,PT Mitra Konstruksi 862,Bali,Badung,Telehandler,WhatsApp,Fajar Nugroho,Closed Lost,2025-12-22,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0302,2023-10-14,PT Mitra Konstruksi 303,jawa,Surabaya,Crane,Whatsapp,SARI RAHMAWATI,CLOSED WON,2023-10-19,2023-10-24,2023-11-04,39300000.0,,,4,1,1,1,1
LD-0104,25/01/2023,PT Mitra Konstruksi 105,Jawa,Semarang,Skylift,google ads,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0594,2024-11-06,PT Mitra Konstruksi 595,JAWA,Gresik,Scissor Lift,whatsapp,Eko Kurniawan,CLOSED WON,2024-11-12,2024-11-14,2024-11-25,11900000.0,,,4,1,1,1,1
LD-0178,2023-04-07,PT Mitra Konstruksi 179,Bali,Denpasar,Telehandler,WhatsApp,Andi Pratama,Closed Lost,2023-04-08,,,,Quotation Sent,Chose competitor,5,1,1,0,0
LD-0767,2025-06-22,PT Mitra Konstruksi 768,Jawa,Sidoarjo,Boom Lift,Google Ads,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0596,29.11.2024,PT Mitra Konstruksi 597,Bali,Badung,Boom Lift,Google Ads,Sari Rahmawati,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0554,2024-09-12,PT Mitra Konstruksi 555,BALI,Denpasar,scissor lift,website,Fajar Nugroho,lead in,,,,,,,1,1,0,0,0
LD-0397,2024-02-20,PT Mitra Konstruksi 398   ,Jawa,Jakarta,  Carmix,Website,  Eko Kurniawan,Closed Won,2024-02-23,2024-03-03,2024-03-12,32000000.0,,,4,1,1,1,1
LD-0982,2026-05-20, PT Mitra Konstruksi 983 ,Jawa,Semarang   ,Scissor Lift   ,WhatsApp,Vino Jayrasta   ,Closed Won,2026-05-24,2026-05-31,2026-06-03,8900000.0,,,4,1,1,1,1
LD-1008,2026-06-11,PT Mitra Konstruksi 1009,Bali,Gianyar,Scissor  Lift,Refferal,Fajar Nugroho,Closed Lost,2026-06-12,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0659,15-Feb-2025,PT Mitra Konstruksi 660   ,Sumatra, Batam , Skylift ,WhatsApp,  Andi Pratama,Closed Won,2025-02-20,2025-02-26,2025-03-11,,,,4,1,1,1,1
LD-0299,2023-10-04,PT Mitra Konstruksi 300,Bali,Denpasar,BOOM LIFT,WHATSAPP,Sari Rahmawati,Closed Won,2023-10-07,2023-10-12,2023-10-25,17700000.0,,,4,1,1,1,1
LD-0919,2026-02-11,PT Mitra Konstruksi 920,jawa,Bandung,SCISSOR LIFT,Referral,Budi Santoso,Closed Won,2026-02-16,2026-02-19,26/02/2026,6900000.0,,,4,1,1,1,1
LD-0720,2025-04-25,PT Mitra Konstruksi 721,Bali,Gianyar,Scissor Lift,Referral,Rina Wulandari,Closed Won,2025-05-01,2025-05-03,2025-05-06,7200000.0,,,4,1,1,1,1
LD-0735,2025-05-05,PT Mitra Konstruksi 736,jawa,Jakarta,Boom Lift,Whatsapp,Andi Pratama,closed lost,2025-05-11,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0654,2025-01-12,PT Mitra Konstruksi 655,Jawa,Jakarta,Crane,WhatsApp,Andi Pratama,Closed Lost,2025-01-14,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0038,2022-09-16,PT  Mitra Konstruksi 039,Jawa, Bandung ,Skylift   ,Google Ads, Andi Pratama ,Closed Won,2022-09-21,2022-09-27,2022-10-03,11700000.0,,,4,1,1,1,1
LD-0886,2026-01-13,PT Mitra Konstruksi 887,Jawa,Jakarta,Telehandler,referal,Rina Wulandari,Closed Lost,2026-01-16,2026-01-20,,,Negotiation,No response / went cold,5,1,1,1,0
LD-0276,2023-09-22,PT Mitra Konstruksi 277,Jawa,Gresik,Telehandler,Website,Budi Santoso,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0326,2023-11-25,PT Mitra Konstruksi 327,Jawa,Jakarta,Scissor Lift,WhatsApp,Eko Kurniawan,Closed Won,2023-12-01,2023-12-06,2023-12-10,9800000.0,,,4,1,1,1,1
LD-0746,2025-06-10,PT Mitra Konstruksi 747,Jawa,Surabaya,Telehandler,WhatsApp,Sari Rahmawati,Closed Lost,2025-06-12,2025-06-15,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0037,2022-09-09,PT Mitra Konstruksi 038,Bali,Denpasar,Boom Lift,WhatsApp,Andi Pratama,Closed Lost,2022-09-10,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0973,2026-05-16,PT Mitra Konstruksi 974,Sumatra,Palembang,Scissor Lift,Google Ads,Vino Jayrasta,Closed Won,2026-05-22,2026-05-29,2026-06-06,14500000.0,,,4,1,1,1,1
LD-0099,2022-12-15,PT Mitra Konstruksi 100,Jawa,Gresikk,Skylift,WhatsApp,Vino Jayrasta,Closed Lost,21/12/2022,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0542,2024-09-17,PT Mitra Konstruksi 543,JAWA,Semarang,Skylift,google ads,Dewi Lestari,Closed Won,2024-09-19,2024-09-22,2024-09-24,13200000.0,,,4,1,1,1,1
LD-0939,2026-03-06,PT Mitra Konstruksi 940,Jawa,Surabaya,Crane,WhatsApp,Andi Pratama,Closed Lost,2026-03-11,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0897,2026-01-30,PT Mitra Konstruksi 898,Jawa,Jakarta,Skylift,Google Ads,Eko Kurniawan,Closed Lost,2026-02-02,2026-02-04,,,Negotiation,Price too high,5,1,1,1,0
LD-0036,2022-09-30,PT Mitra Konstruksi 037,,,SCISSOR LIFT,,,Lead In,,,,,,,1,1,0,0,0
LD-0434,04.04.2024,PT Mitra Konstruksi 435,Jawa,Sidoarjo,Scissor Lift,WhatsApp,Andi Pratama,Closed Won,2024-04-07,2024-04-16,2024-04-27,6000000.0,,,4,1,1,1,1
LD-0758,2025-06-10,PT Mitra Konstruksi 759,bali,Gianyar,carmix,google ads,Andi Pratama,Closed Won,2025-06-11,2025-06-20,2025-06-30,27900000.0,,,4,1,1,1,1
LD-0557,2024-09-26,PT Mitra Konstruksi 558,Jawa,Jakarta,BOOM LIFT ,referal,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0656,06-Jan-2025,PT Mitra Konstruksi 657,Bali,Badung,Telehandler,Email,Dewi Lestari,Closed Lost,2025-01-08,2025-01-14,,,Negotiation,Budget not approved,5,1,1,1,0
LD-0844,2025-11-01,PT Mitra Konstruksi 845,Jawa,Semarang,Telehandler,Google Ads,Vino Jayrasta,Closed Lost,2025-11-06,14-Nov-2025,,,Negotiation,Chose competitor,5,1,1,1,0
LD-1026,2026-07-12,PT Mitra Konstruksi 1027,Jawa,Sidoarjo,Boom Lift,WhatsApp,Andi Pratama,Closed Lost,2026-07-18,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0671,2025-02-09,PT Mitra Konstruksi 672,Sumatra,Medan,Boom Lift,WhatsApp,Budi Santoso,Closed Lost,2025-02-15,2025-02-19,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0363,2024-01-22,PT Mitra Konstruksi 364,Jawa,Surabaya,Scissor Lift,Website,Sari Rahmawati,Closed Lost,2024-01-26,2024-01-29,,,Negotiation,Budget not approved,5,1,1,1,0
LD-0664,2025-02-19,PT Mitra Konstruksi 665,SUMATRA,Batam,Scissor Lift,Whatsapp,Eko Kurniawan,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0169,2023-04-16,PT Mitra Konstruksi 170,Jawa,Semarang,Crane,Referral,Vino Jayrasta,Closed Lost,2023-04-21,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0303,2023-10-01,PT Mitra Konstruksi 304,Jawa,Jakarta,Boom Lift,WhatsApp,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0868,2025-12-19,PT Mitra Konstruksi 869,Jawa,Semarang,Boom Lift,WhatsApp,Fajar Nugroho,Closed Won,25/12/2025,2025-12-28,2026-01-10,15300000.0,,,4,1,1,1,1
LD-0105,2023-01-05,PT Mitra Konstruksi 106,JAWA,Sidoarjo,Scissor Lift,Email,Budi Santoso,Closed Lost,2023-01-10,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0978,2026-05-06,PT Mitra Konstruksi 979,Jawa,Semarrang,Crane,Refferal,SARI RAHMAWATI,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0211,02.06.2023,PT Mitra Konstruksi 212,Jawa,Bandung,Scissor Lift,Google Ads,Fajar Nugroho,Lead In,,,,,,,1,1,0,0,0
LD-0446,2024-04-08,PT Mitra Konstruksi 447,Jawa,Bandung,Crane,Email,Andi Pratama,Closed Won,2024-04-13,2024-04-16,29/04/2024,30800000.0,,,4,1,1,1,1
LD-0926,2026-03-04,PT Mitra Konstruksi 927,Jawa,Gresik,Crane,web site,Vino J.,Closed Lost,2026-03-10,,,,Quotation Sent,Chose competitor,5,1,1,0,0
LD-0821,2025-09-10,PT Mitra Konstruksi 822,Sumatra,Batam,Scissor Lift,WhatsApp,Dewi Lestari,Closed Lost,2025-09-14,20.09.2025,,,Negotiation,Budget not approved,5,1,1,1,0
LD-0143,2023-02-12,PT Mitra Konstruksi 144,Sumatra,Batam,SCISSOR LIFT,Google Ads,Dewi Lestari,CLOSED LOST,2023-02-14,2023-02-17,,,Negotiation,Price too high,5,1,1,1,0
LD-0888,2026-01-15,PT Mitra Konstruksi 889,Jawa,Surabaya,Skylift,Website,Rina Wulandari,Closed Won,2026-01-20,2026-01-22,2026-01-29,16200000.0,,,4,1,1,1,1
LD-0417,2024-03-19,PT Mitra Konstruksi 418,,,Boom Lift,,,Closed Lost,2024-03-20,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0762,2025-06-18,PT Mitra Konstruksi 763,Jawa,Bandung,Scissor Lift,WA,Dewi Lestari,Lead In,,,,,,,1,1,0,0,0
LD-0967,2026-05-26,PT Mitra Konstruksi 968,Sumatra,Palembeng,telehandler,GOOGLE ADS,Dewi Lestari,CLOSED WON,2026-05-27,2026-05-29,2026-06-04,17100000.0,,,4,1,1,1,1
LD-0597,28/11/2024, PT Mitra Konstruksi 598 ,Sumatra,Palembang,ScissorLift,google ads,andi pratama,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0112,2023-01-29,PT Mitra Konstruksi 113,Bali,Denpasar,Scissor Lift,WhatsApp,Budi Santoso,Lead In,,,,,,,1,1,0,0,0
LD-0555,2024-09-04,PT Mitra Konstruksi 556,sumatra,Batam,Scissor  Lift,google ads,vino jayrasta,CLOSED LOST,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0131,2023-02-28,PT Mitra Konstruksi 132,Jawa,Bandung,Crane,WhatsApp,Fajar Nugroho,Closed Won,2023-03-02,2023-03-07,2023-03-13,41011.0,,,4,1,1,1,1
LD-0450,2024-05-30,PT Mitra Konstruksi 451,Sumatra,Palembang,Scissor Lift,WhatsApp,Vino Jayrasta,Closed Lost,2024-06-05,2024-06-13,,,Negotiation,Budget not approved,5,1,1,1,0
LD-0757,2025-06-27,  PT Mitra Konstruksi 758,Jawa,Surabaya,Crane,Website, Dewi Lestari ,Lead In,,,,,,,1,1,0,0,0
LD-0701,2025-03-16,PT Mitra Konstruksi 702,Jawa,Gresik,ScissorLift,Web,Andi P,Closed Lost,2025-03-19,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0552,2024-09-09,PT Mitra Konstruksi 553,Sumatra,Medan,Scissor Lift,Referral,Dewi Lestari,Closed Won,2024-09-12,2024-09-18,2024-10-01,6700000.0,,,4,1,1,1,1
LD-0829,2025-10-16,PT Mitra Konstruksi 830,Sumatra,Palembang,Scissor Lift,WhatsApp,Rina Wulandari,Closed Won,2025-10-17,2025-10-21,2025-10-10,19100000.0,,,4,1,1,1,1
LD-0715,2025-04-01,PT Mitra Konstruksi 716,Sumatra,Medan,Scissor Lift,Referral,Sari Rahmawati,Closed Lost,2025-04-06,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0739,2025-05-05,PT  Mitra Konstruksi 740,Jawa,Gresik,Scissor Lift   ,WhatsApp,Dewi Lestari   ,Closed Lost,2025-05-06,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0208,2023-05-27,PT Mitra Konstruksi 209,sumatra,Batam,SCISSOR LIFT,email,Dewi Lestari,CLOSED LOST,2023-06-01,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0471,2024-06-16,PT Mitra Konstruksi 472,,,Boom Lift,,,Lead In,,,,,,,1,1,0,0,0
LD-0344,2023-12-03,PT  Mitra Konstruksi 345,Jawa, Jakarta ,Scissor  Lift,Website,Vino  Jayrasta,Closed Won,2023-12-06,2023-12-13,23/12/2023,,,,4,1,1,1,1
LD-0236,2023-07-11,PT Mitra Konstruksi 237,Jawa,Semarang,Skylift,whatsapp,Sari Rahmawati,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0013,13.08.2022,PT Mitra Konstruksi 014,Jawa,Gresik,Skylift,Email,Dewi Lestari,Closed Lost,2022-08-18,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0111,2023-01-25,PT Mitra Konstruksi 112,Jawa,Gresikk,Boom Lift,WhatsApp,Eko Kurniawan,Closed Lost,2023-01-29,2023-02-03,,,Negotiation,Price too high,5,1,1,1,0
LD-0327,2023-11-15,PT Mitra Konstruksi 328,Jawa,Jakarta,Boom Lift,Website,Fajar Nugroho,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0490,2024-06-12,PT Mitra Konstruksi 491,Jawa,,Carmix,,Andi Pratama,Closed Won,2024-06-16,2024-06-20,2024-06-28,32700000.0,,,4,1,1,1,1
LD-0895,2026-01-27,PT Mitra Konstruksi 896,Jawa,Bandung,Scissor Lift,Google Ads,Vino Jayrasta,Closed Lost,2026-02-02,2026-02-08,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0122,2023-01-04,PT Mitra Konstruksi 123,Jawa,Jakarta,Crane,whatsapp,Fajar Nugroho,Closed Won,2023-01-07,2023-01-10,2023-01-21,74900000.0,,,4,1,1,1,1
LD-0553,2024-09-23,PT Mitra Konstruksi 554,Bali,Badung,Scissor Lift,WhatsApp,Eko Kurniawan,Closed Lost,28/09/2024,2024-09-30,,,Negotiation,Price too high,5,1,1,1,0
LD-0672,2025-02-23,PT Mitra Konstruksi 673,Jawa,Surabaya,boom lift,WHATSAPP,Budi Santoso,closed lost,2025-02-27,2025-03-05,,,Negotiation,No response / went cold,5,1,1,1,0
LD-0862,2025-12-04,PT Mitra Konstruksi 863,Jawa,Surabaya,Carmix,WhatsApp,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0121,29/01/2023,PT Mitra Konstruksi 122,JAWA,Jakarta,SCISSOR LIFT,email,Eko Kurniawan,Closed Lost,2023-02-03,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0495,2024-06-20,PT Mitra Konstruksi 496,Jawa,Jakarta,Boom Lift,WHATSAPP,Eko Kurniawan,closed won,2024-06-26,2024-07-02,2024-07-09,9400000.0,,,4,1,1,1,1
LD-0519,22.08.2024,PT Mitra Konstruksi 520,Bali,Badung,Telehandler,Email,Andi Pratama,Lead In,,,,,,,1,1,0,0,0
LD-0006,2022-08-07,PT Mitra Konstruksi 007,Bali,Gianyar,Boom Lift,WhatsApp,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0582,2024-11-09,PT Mitra Konstruksi 583,Jawa,Semarang,Skylift,Google Ads,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0956,2026-04-27,PT Mitra Konstruksi 957,Bali,Denpasar,BOOM LIFT ,whatsapp,Eko Kurniawan,Lead In,,,,,,,1,1,0,0,0
LD-0399,2024-02-24,PT Mitra Konstruksi 400,Jawa,Sidoarjo,Crane,Website,Budi Santoso,Closed Lost,2024-03-01,,,,Quotation Sent,Price too high,5,1,1,0,0
